QueueId,QueueThreadCount,SchedType,QueueMaxRemainingBursts,QueueMinRemainingBursts,QueueMeanRemainingBursts,QueueMedianRemainingBursts,QueueRangeRemainingBursts,QueueTotalRemainingBursts,CoreCount,CoreId,IsCoreIdle,CoreBurstAge,ThreadBurstsRan,ThreadBurstsRemaining,Action,AvgThreadThroughput,AvgThreadTurnaround
36,4,CFS,7,1,4.25,4.5,6,17,2,0,0,0,39,4,NEXT_OTHER,0.063604,229.667
0,14,HRRN,49,6,33.714,37,43,472,3,1,0,9,9,15,NONE,0.09375,95.333
0,1,HRRN,10,10,10,10,0,10,3,0,1,0,0,inf,NEXT_SJF,0.09375,95.333
27,6,CFS,32,2,17.167,17.5,30,103,1,0,0,0,16,5,NEXT_RR,0.038462,128
0,7,PSJF,49,16,39.143,45,33,274,3,0,0,11,11,32,NONE,0.09375,92.952
0,19,CFS,41,6,23.842,18,35,453,1,0,0,0,7,41,NEXT_FCFS,0.034091,451.857
18,8,CFS,14,1,7.625,8,13,61,1,0,0,0,34,3,NEXT_RR,0.036217,329.5
0,18,CFS,31,2,15.056,9.5,29,271,3,2,0,0,17,26,NEXT_FCFS,0.101449,151.667
44,9,MLFQ,25,1,13.333,14,24,120,2,1,0,0,18,1,NEXT_RR,0.060606,131.3
83,18,CFS,40,2,22.111,20.5,38,398,1,0,0,0,7,10,NEXT_OTHER,0.039927,364.091
18,18,CFS,48,1,25.944,31,47,467,2,1,0,0,1,1,NEXT_OTHER,0.072,165.722
20,7,RR,15,1,5.571,3,14,39,2,1,0,1,26,3,NONE,0.109948,112.571
43,16,CFS,35,3,18.438,17.5,32,295,4,1,0,0,13,29,NEXT_RR,0.142857,90.211
42,2,FCFS,15,12,13.5,13.5,3,27,4,3,1,0,0,inf,NEXT_SJF,0.149254,30.8
39,5,CFS,20,2,12.8,17,18,64,3,0,0,0,18,6,NEXT_FCFS,0.15942,39.273
66,6,RR,35,12,20.167,14.5,23,121,1,0,0,0,9,13,NEXT_FCFS,0.039216,139.125
2,6,FCFS,45,5,23.167,19.5,40,139,2,0,0,11,11,5,NONE,0.07563,114.833
32,10,CFS,36,1,15.3,15,35,153,2,0,0,0,10,3,NEXT_OTHER,0.083333,86
